what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1299815444932
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1299815446037
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815446929
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815467585
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815468298
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815469992
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1299815471074
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815473724
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815512309
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1299815512352
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815517792
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815520096
error,log,,,"ArduinoAudioTest does not exist",1299815520101
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.cleanAction",1299815520138
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815538105
error,log,,,"Failed to load properties file for project 'FirstTestAndroidProject'",1299815580880
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815581077
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815587440
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815587541
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815592906
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1299815592938
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1299815592938
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1299815593030
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815593081
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815593084
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815593086
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815593092
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815593093
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815593094
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815593095
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815593096
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815593097
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815593098
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815593098
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815593111
error,log,,,"Unable to get nature of project 'ArduinoAudioTest'.",1299815593178
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815595319
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815644570
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815644615
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815644638
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815657843
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1299815668690
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1299815668691
error,log,,,"Errors occurred during the build.",1299815668694
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815668716
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1299815668744
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1299815668744
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815668788
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815671243
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815682112
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815691967
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1299815692001
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1299815699223
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1299815699363
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1299815702659
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815708491
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815708662
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1299815714535
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1299815715525
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815719538
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815721067
error,log,,,"ArduinoAudioTest does not exist",1299815721082
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.cleanAction",1299815721119
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1299815726673
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1299815728062
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1299815733222
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineUp",1299815734000
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.cut.line.to.end",1299815734463
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815739419
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815739547
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815739659
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815742712
error,log,,,"Unhandled event loop exception",1299815744264
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815750549
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815750672
error,log,,,"Unhandled event loop exception",1299815750729
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1299815755801
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1299815782706
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815787456
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815800519
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1299815800570
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815806097
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1299815807809
error,log,,,"ArduinoAudioTest does not exist",1299815807814
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.cleanAction",1299815807862
